eager			chętny
mortgage		hipoteka, wierzytelność
securities		papiery wartościowe
wires money		przesyłac pieniądze
set aside		odkładać
intermediation		pośrednictwo
interest		odsetki
Net interest margin 	różnica między odsetkami kredytu a odsetkami lokat
align			równoważyć
bonds 			papiery wartościowe
asset			kapitał
liabilities		zadłużenie
refinanced		refinansowany
embedded 		osadzony
encountered		napotkany
reimburse		zwracać koszty
involve			angażować
fruition		urzeczywistwienie
net worth		wartość netto
perk			dodatkowy dochód
revenue 		dochód
counselling 		doradztwo
clerk			urzędnik
enforce			egzekwować
breache			naruszać prawo
consent			zgoda
conceal			ukryć
reveal			odsłonić
entitled		uprawniony
substantial		znacząc
adolescent		dorastający
trustee			powiernik
mutual			wzajemny, wspólny
heir			spadkobierca
deceased		zmarły
waived			zniesiony
offence			wykroczenie
hesitate		wahać się
condemns		potępiać
negligence		nedbalstwo
domestic		krajowy
hinge			zależeć / zawias
intermediaries	pośrednik
revoke			odwoływać
opaque 			nieprzejrzysty
comply 			przestrzegać
solvency 		wypłacalność
disclosure 		ujawnienie
counterfeit 	podrobiony
suspension 		zawieszenie
suspension 		wcześniejszy
initiate 		inicjować
insolvency		niewypłacalność
blatant			krzykliwy
apprehension 	obawa
extent 			rozmiar, skala
write down		zanotować
proceedings		obrady
govern 			kierować
enhance 		zwiększać
measures		środki
pursuant 		zgodnie
provision		zabezpieczenie
impose			nakładać
ordinance		rozporządzenie
pledge			gwarantują
stipulated 		okreslone
derivative 		pochodne
fiduciary 		powiernik
custody			opieka
receivables 	należności
Tangible 		namacalny
Depreciation 	dewaulacja
excerpt 		fragment, wypis z rejestru
-----------
2019 FEB 20
-----------
period			kropka
toggle			przełącznik
malformed		zniekształcony
equity capital	kapitał własny
objective		cel
pursue			kontynuować
to weather 		przetrwać
supplementary	dodatkowy
disclosure		ujawnienie
adequacy 		stosowność
assess			oszacować
equities		akcje
mitigate 		złagodzić
sme				small and medium-sized enterpraises
crucial 		istotny, przełomowy
Defaults 		niezapłacenia
breached		naruszony
excessively 	nadmiernie
eligible		nadający się np kapitał
tier			poziom
subordinated	podporządkowany
collocation 	rozmieszczenie  - pieniądze przy bankrutctwie
occupational pension	emerytura pracownicza
vested			nabyty
commission		prowizja
letter of credit	akredytywa
claim 			roszczenia
notes			uwagi
concludes 		finalizować
to hedge		do zabezpieczenia
allegation 		zarzut
predicate offence 		działania stanowiące przestępstwo
hinder 			utrudniać
straw man		strach na wróble
plausible 		wiarygodny
collateral 		równoległy
stakes			pula
compliance officer	urzędnik ds zgodności
harm			szkodzić
bribery 		przekupstwo, łapownictwo
embezzlement	sprzeniewierzenie, defradacja
due diligence	należyta staranność
trail			ślad / szlak
resent 			oburzać się
contradiction 	sprzeczność
breach 			wyłom
foreseeable 	do przewidzenia
vigilance 		czujność
Contraventions 	naruszenie przepisów
affiliated 		stowarzyszony
enacted 		zarządać
stipulate		określać
impeccable 		niskazitelny
thoroughly 		gruntownie
outlined 		opisany
underway		w toku
enforcement 	egzekwowanie
distinguish 	rozróżniać
recurring 		powtarzający się
erroneous 		błędny
precautions		środki ostrożności
disguise 		zamaskować
deductible		franszyzna redukcyjna
instalments		raty
solvent			wypłacalny
acquirer 		nabywca
issuer			emitent
beneath			poniżej
to tilt			przechylać
obligations		zobowiązania
entails			pociągać za sobą
divulge 		rozgłaszać
discrepancies	rozbieżności
invoices		faktury
objection		sprzeciw
standing order	stałe zlecenie przelew
retail			detaliczny
beneficiary		beneficjent / obdarzony
